Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
7/7/2017,Mortgage,Conventional home mortgage,Trouble during payment process,,"My account is es crowed with NYCB and I see a significant delay in paying my home owner insurance payment. Two months back I have opted for new home owner insurance policy, informed bank about it and I made couple of call to inform them about my new insurance premium payment. Insurance agent sent them invoice but bank never paid them. I have received a cancellation notice from insurance company, I called bank on XXXX XXXX 2017 to inquire about the payment and they admitted they never paid it ( my online account says they paid premium but it was not the case ) but there a confusion from their side ( not sure what it is ). When I asked them did they get cancellation notice from insurance company, they said yes as they got it on XXXX XXXX 2017 then why did n't they act immediately? why are they waiting until I call and let them know about missing payment? I call them on XXXX XXXX, they initiated payment on XXXX XXXX ( online account says disbursed on XXXX XXXX - false details ). Today is the last day insurance company would cancel my policy if they do n't receive payment, I called bank, CSR says we need allow 7 days to deliver the check, and CSR assumes it will be delivered and insurance would reinstate the policy, who is responsible if payment is not made by end of today? what if damage happens over the weekend? Bank put me corner and I was in scary mode now, surprisingly second time happening this to me like this as Title company never paid premium amount to insurance for which I lived in home for 7 months without home insurance and no one took responsibility about it. Always CSR speaks something not sure it is recorded they assume a lot but they do n't take responsibility, they give robot type answers, not allowed me to speak to their manager when needed. But CSR gave random answers, different CSR 's give different answers. I 'm worried and I see negligence from bank.",,NEW YORK COMMUNITY BANK,TX,750XX,,Consent provided,Web,7/7/2017,Closed with explanation,Yes,,2567213
2/26/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"Seterus, Inc.",GA,30115,Older American,,Phone,2/28/2014,Closed with explanation,Yes,No,733750
11/11/2015,Credit reporting,,Credit monitoring or identity protection,Billing dispute,"I 'm trying to get my own place but every time I try I get denied because of bad credit, I 've had numerous bills in my name I did n't know about that my mothers been doing since I was young she 's used my information for bills that I never had or new about till now she messed up my credit by not paying the bills on time, letting them get sky high, or not paying at all I ca n't even get a home because all the bills I have in my name, when she threw me out she would n't give me my social, my birth certificate, or I 'd so now she 's ruining my credit what can I do about it",Company chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",WV,,,Consent provided,Web,11/11/2015,Closed with explanation,Yes,No,1650711
4/4/2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,"I feel as though I have been a victim of predatory lending by navient. I was steered into a tuition answer loan twice by my school and ot was not clear to me at that time that this loan was in a niche catagory meaning that it was not technically a student loan nor was it technically private. Meaning that it could not be eligible for income based repayment because it 's "" private '' nor can it be claimed under bankruptcy because it is a "" student loan. '' I was on XXXX at the time that I got these loans and having trouble making ends meet. I feel that I was pushed into it by my college, which is now defunct. I had a XXXX and to this day I continue to struggle being that I 'm not at a high paying job and I remain on state based health insurance ( XXXX and XXXX, which I pay for now ) in order to keep my XXXX going with very expensive XXXX. I have limited options in repayment and the amount due almost equals XXXX of my bi weekly paychecks leaving me little to live on. I was steered by navient into a "" lower interest rate '' plan but had no idea that doing so would not help me pay any principal at all. Also even though my payments are on time being in this low interest plan payment has limited my options and ability to have my consigned released. I was not educated as to the stipulations of these loans and it has literally ruined my life. I continue to depend on others and my family because this has tarnished my credit history. I feel as though i would have made a better choice as to not applying for these loans had I known the turmoil I 'd go through in my life due to their damage. I think they take advantage of navet of students who are trying to make ends meet while in college and not aware of the actual terms until it 's time to repay and you are out of options. Not all of us graduate from college and land a high paying position and in order to pay these back that 's what would need to happen. And especially with these sneaky loans disguised as student loans which are not really private otherwise I 'd have gone bankrupt to help my situation. I need help and I 've been hearing of a lot of lawsuits regarding this company and others going through the same or similar circumstances. Thank you for your time.",,"Navient Solutions, LLC.",NY,,,Consent provided,Web,4/4/2017,Closed with explanation,Yes,No,2417051
5/4/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,OH,43232,,,Referral,5/9/2016,Closed with non-monetary relief,Yes,No,1910234
5/8/2017,Debt collection,Other debt,Took or threatened to take negative or legal action,Threatened to arrest you or take you to jail if you do not pay,,Company believes it acted appropriately as authorized by contract or law,"Sunset Management, Inc",SC,29693,,,Phone,5/8/2017,Closed with explanation,Yes,,2478477
3/12/2018,Debt collection,Other debt,Written notification about debt,Didn't receive enough information to verify debt,,,"CAVALRY INVESTMENTS, LLC",CA,92392,,Consent not provided,Web,3/12/2018,Closed with non-monetary relief,Yes,,2840643
6/30/2017,Mortgage,Conventional home mortgage,Trouble during payment process,,"Tried to do loan modification and Ocwen sends back last payments so it wo n't become valid. Both Ocwen and their attorney never returns phone calls so I could find out why checks were returned. Was told by XXXX XXXX XXXX to file a Chapter XXXX bankruptcy, followed all directions to stop sale and that failed. Per commissioner and judge, it was supposed to be filed in Federal Bankruptcy Court to be valid but THEIR clerk at the window at the district court said that was it. She hand wrote the number on the top of the page and said to make sure we sent it to the proper people and we sent it to XXXX XXXX XXXX and they sent it to Ocwen. The amounts of the balance of that mortgage do n't even seem right. We went to court on XXXX XXXX,2017 to fight the sale with the bankruptcy and the Judge said that the bankruptcy was n't in time and filed properly so the commission of sale was granted. We asked him how long we had to keep fighting g this and he said 60 days but no one wants to help us because of the way it 's noted on the credit report a d how far the foreclosure is but we have been trying to fight everything since we were made aware and still got no help!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,OCWEN LOAN SERVICING LLC,HI,967XX,"Older American, Servicemember",Consent provided,Web,6/30/2017,Closed with explanation,Yes,,2563040
10/12/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"I have submitted multiple requestes written requests and even spoke with an Representative named XXXX at Experian regarding having the following inquiries removed because I didnt not authorize them and have been unsuccessful in doing so. 

XXXX. 
XXXX XXXX Dated : XXXX XXXX, XXXX Mortgage Reporters XXXX XXXX XXXX XXXX, MD XXXX ( XXXX ) XXXX 2. 
XXXX XXXX NA XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, VA XXXX 3. 
XXXX XXXX NA XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, VA XXXX 4. 
XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX  XXXX XXXX XXXX XXXX, CT XXXX ( XXXX ) XXXX 5. 
XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, CA XXXX ( XXXX ) XXXX 6. 
XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, CA XXXX ( XXXX ) XXXX 7. 
XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, IN XXXX ( XXXX ) XXXX 8. 
XXXX XXXX XXXX, XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX, SD XXXX BYMAILONLY",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,761XX,,Consent provided,Web,10/12/2017,Closed with explanation,Yes,,2700145
4/23/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company chooses not to provide a public response,U.S. BANCORP,PA,18974,,Consent not provided,Web,4/29/2015,Closed with monetary relief,Yes,Yes,1345206
12/29/2016,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NJ,08043,,,Postal mail,12/30/2016,Closed with non-monetary relief,Yes,No,2268592
12/7/2018,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was paid,,,JPMORGAN CHASE & CO.,WI,54901,,Consent not provided,Web,12/7/2018,Closed with non-monetary relief,Yes,,3094632
9/2/2015,Credit card,,Billing disputes,,"I set up Citi credit card auto pay online as the site allows you too. I did this first time and they never took out my payment through auto pay which made my account late so I tried again online. Still did n't go through and i was late again. I did n't know it was late until they called me multiple times to let me know. Told them I did auto pay. They said It does n't show on the account and then I said it should because I did it XXXX online and they asked that I set it over the phone with them. That they recommend I do it over the phone because of issues of setting it up online. So, I set it up with them and they confirmed and I even received a letter saying I was enrolled in there autopay and the citi card rep over the phone said I now have auto pay and the payment will be taken out the checking account for the next statement. I gave at XXXX XXXX XXXX. My complaint is why is n't there autopay working online or over the phone? Because of this I have been late on my account XXXX months in a row because of CITI is not honoring there autopay agreement and not processing my payment for auto pay. By them not doing this it has cause me to be late and have accrued late charges every time. Not to mention my credit score and credit reputation with Citi. I urge Consumer Finance to please investigate to see if anyone has had issues and investigate there business practices. How do I know there not trying to make me late to up my APR percentage or/and identity theft from their Citi representatives who have all my account information over the phone and the auto pay still did not work.",Company chooses not to provide a public response,"CITIBANK, N.A.",CA,921XX,,Consent provided,Web,9/2/2015,Closed with explanation,Yes,Yes,1549514
